time_iso8601,forks_cumulative
2018-11-15 00:00:00+00:00,3
2018-11-23 00:00:00+00:00,5
2018-12-01 00:00:00+00:00,6
2019-01-07 00:00:00+00:00,7
2019-01-08 00:00:00+00:00,8
2019-01-09 00:00:00+00:00,9
2019-02-18 00:00:00+00:00,10
2019-02-24 00:00:00+00:00,12
2019-02-25 00:00:00+00:00,13
2019-02-26 00:00:00+00:00,15
2019-03-02 00:00:00+00:00,16
2019-03-07 00:00:00+00:00,17
2019-03-12 00:00:00+00:00,19
2019-03-17 00:00:00+00:00,20
2019-03-22 00:00:00+00:00,21
2019-03-26 00:00:00+00:00,22
2019-03-27 00:00:00+00:00,23
2019-03-28 00:00:00+00:00,24
2019-03-29 00:00:00+00:00,25
2019-04-01 00:00:00+00:00,26
2019-04-09 00:00:00+00:00,27
2019-04-11 00:00:00+00:00,28
2019-04-15 00:00:00+00:00,29
2019-04-22 00:00:00+00:00,30
2019-04-27 00:00:00+00:00,31
2019-04-29 00:00:00+00:00,32
2019-05-03 00:00:00+00:00,33
2019-05-05 00:00:00+00:00,34
2019-05-09 00:00:00+00:00,36
2019-05-13 00:00:00+00:00,38
2019-05-15 00:00:00+00:00,39
2019-05-20 00:00:00+00:00,42
2019-05-21 00:00:00+00:00,43
2019-05-23 00:00:00+00:00,44
2019-05-28 00:00:00+00:00,45
2019-05-29 00:00:00+00:00,46
2019-05-30 00:00:00+00:00,47
2019-05-31 00:00:00+00:00,48
2019-06-04 00:00:00+00:00,50
2019-06-07 00:00:00+00:00,51
2019-06-13 00:00:00+00:00,52
2019-06-18 00:00:00+00:00,53
2019-06-19 00:00:00+00:00,55
2019-06-22 00:00:00+00:00,56
2019-06-26 00:00:00+00:00,57
2019-06-30 00:00:00+00:00,58
2019-07-04 00:00:00+00:00,59
2019-07-05 00:00:00+00:00,60
2019-07-06 00:00:00+00:00,62
2019-07-09 00:00:00+00:00,63
2019-07-10 00:00:00+00:00,64
2019-07-15 00:00:00+00:00,65
2019-07-17 00:00:00+00:00,66
2019-07-21 00:00:00+00:00,67
2019-07-23 00:00:00+00:00,68
2019-07-24 00:00:00+00:00,69
2019-07-25 00:00:00+00:00,71
2019-07-26 00:00:00+00:00,72
2019-07-29 00:00:00+00:00,74
2019-07-30 00:00:00+00:00,75
2019-08-01 00:00:00+00:00,78
2019-08-15 00:00:00+00:00,79
2019-08-21 00:00:00+00:00,81
2019-08-23 00:00:00+00:00,82
2019-08-24 00:00:00+00:00,83
2019-08-28 00:00:00+00:00,84
2019-08-30 00:00:00+00:00,86
2019-09-03 00:00:00+00:00,89
2019-09-04 00:00:00+00:00,90
2019-09-05 00:00:00+00:00,91
2019-09-09 00:00:00+00:00,92
2019-09-13 00:00:00+00:00,93
2019-09-18 00:00:00+00:00,94
2019-09-24 00:00:00+00:00,95
2019-09-28 00:00:00+00:00,96
2019-10-07 00:00:00+00:00,97
2019-10-15 00:00:00+00:00,98
2019-10-16 00:00:00+00:00,100
2019-10-17 00:00:00+00:00,101
2019-10-22 00:00:00+00:00,102
2019-10-23 00:00:00+00:00,104
2019-10-25 00:00:00+00:00,106
2019-10-27 00:00:00+00:00,107
2019-10-30 00:00:00+00:00,109
2019-11-02 00:00:00+00:00,110
2019-11-05 00:00:00+00:00,111
2019-11-13 00:00:00+00:00,112
2019-11-16 00:00:00+00:00,113
2019-11-17 00:00:00+00:00,114
2019-11-18 00:00:00+00:00,116
2019-11-19 00:00:00+00:00,117
2019-11-21 00:00:00+00:00,118
2019-11-25 00:00:00+00:00,120
2019-11-26 00:00:00+00:00,121
2019-11-28 00:00:00+00:00,122
2019-12-16 00:00:00+00:00,123
2019-12-17 00:00:00+00:00,124
2019-12-19 00:00:00+00:00,125
2019-12-20 00:00:00+00:00,126
2019-12-24 00:00:00+00:00,128
2019-12-26 00:00:00+00:00,129
2020-01-04 00:00:00+00:00,130
2020-01-06 00:00:00+00:00,131
2020-01-07 00:00:00+00:00,132
2020-01-08 00:00:00+00:00,133
2020-01-16 00:00:00+00:00,134
2020-01-17 00:00:00+00:00,135
2020-01-18 00:00:00+00:00,136
2020-01-20 00:00:00+00:00,137
2020-01-22 00:00:00+00:00,138
2020-01-23 00:00:00+00:00,140
2020-01-30 00:00:00+00:00,141
2020-01-31 00:00:00+00:00,142
2020-02-06 00:00:00+00:00,143
2020-02-07 00:00:00+00:00,144
2020-02-08 00:00:00+00:00,145
2020-02-12 00:00:00+00:00,147
2020-02-13 00:00:00+00:00,149
2020-02-14 00:00:00+00:00,150
2020-02-15 00:00:00+00:00,151
2020-02-17 00:00:00+00:00,153
2020-02-22 00:00:00+00:00,154
2020-02-27 00:00:00+00:00,155
2020-02-28 00:00:00+00:00,156
2020-03-04 00:00:00+00:00,157
2020-03-07 00:00:00+00:00,159
2020-03-13 00:00:00+00:00,160
2020-03-17 00:00:00+00:00,162
2020-03-18 00:00:00+00:00,163
2020-03-19 00:00:00+00:00,164
2020-03-20 00:00:00+00:00,165
2020-03-21 00:00:00+00:00,166
2020-03-23 00:00:00+00:00,167
2020-03-25 00:00:00+00:00,169
2020-03-26 00:00:00+00:00,170
2020-03-27 00:00:00+00:00,173
2020-03-28 00:00:00+00:00,175
2020-03-30 00:00:00+00:00,176
2020-04-01 00:00:00+00:00,177
2020-04-07 00:00:00+00:00,178
2020-04-13 00:00:00+00:00,180
2020-04-14 00:00:00+00:00,181
2020-04-15 00:00:00+00:00,182
2020-04-26 00:00:00+00:00,183
2020-04-27 00:00:00+00:00,184
2020-04-28 00:00:00+00:00,185
2020-04-30 00:00:00+00:00,187
2020-05-03 00:00:00+00:00,188
2020-05-06 00:00:00+00:00,190
2020-05-08 00:00:00+00:00,191
2020-05-10 00:00:00+00:00,192
2020-05-11 00:00:00+00:00,193
2020-05-14 00:00:00+00:00,195
2020-05-19 00:00:00+00:00,196
2020-05-20 00:00:00+00:00,197
2020-05-22 00:00:00+00:00,198
2020-05-26 00:00:00+00:00,199
2020-05-27 00:00:00+00:00,200
2020-05-28 00:00:00+00:00,201
2020-05-31 00:00:00+00:00,203
2020-06-01 00:00:00+00:00,205
2020-06-02 00:00:00+00:00,206
2020-06-03 00:00:00+00:00,207
2020-06-05 00:00:00+00:00,209
2020-06-10 00:00:00+00:00,210
2020-06-12 00:00:00+00:00,213
2020-06-14 00:00:00+00:00,214
2020-06-17 00:00:00+00:00,215
2020-06-19 00:00:00+00:00,216
2020-06-21 00:00:00+00:00,217
2020-06-22 00:00:00+00:00,218
2020-06-30 00:00:00+00:00,219
2020-07-03 00:00:00+00:00,220
2020-07-06 00:00:00+00:00,221
2020-07-07 00:00:00+00:00,222
2020-07-08 00:00:00+00:00,225
2020-07-09 00:00:00+00:00,226
2020-07-13 00:00:00+00:00,228
2020-07-14 00:00:00+00:00,229
2020-07-18 00:00:00+00:00,231
2020-07-21 00:00:00+00:00,232
2020-07-22 00:00:00+00:00,234
2020-07-23 00:00:00+00:00,235
2020-07-26 00:00:00+00:00,236
2020-07-28 00:00:00+00:00,237
2020-08-03 00:00:00+00:00,239
2020-08-11 00:00:00+00:00,240
2020-08-13 00:00:00+00:00,241
2020-08-16 00:00:00+00:00,242
2020-08-17 00:00:00+00:00,243
2020-08-18 00:00:00+00:00,244
2020-08-19 00:00:00+00:00,245
2020-08-31 00:00:00+00:00,246
2020-09-02 00:00:00+00:00,248
2020-09-09 00:00:00+00:00,250
2020-09-10 00:00:00+00:00,251
2020-09-11 00:00:00+00:00,252
2020-09-14 00:00:00+00:00,253
2020-09-15 00:00:00+00:00,254
2020-09-17 00:00:00+00:00,255
2020-09-19 00:00:00+00:00,257
2020-09-30 00:00:00+00:00,258
2020-10-01 00:00:00+00:00,259
2020-10-06 00:00:00+00:00,260
2020-10-09 00:00:00+00:00,261
2020-10-10 00:00:00+00:00,262
2020-10-14 00:00:00+00:00,263
2020-10-15 00:00:00+00:00,264
2020-10-22 00:00:00+00:00,265
2020-10-27 00:00:00+00:00,267
2020-10-30 00:00:00+00:00,268
2020-11-04 00:00:00+00:00,269
2020-11-12 00:00:00+00:00,270
2020-11-14 00:00:00+00:00,271
2020-11-16 00:00:00+00:00,272
2020-11-17 00:00:00+00:00,273
2020-11-21 00:00:00+00:00,274
2020-11-25 00:00:00+00:00,276
2020-11-27 00:00:00+00:00,277
2020-12-02 00:00:00+00:00,278
2020-12-03 00:00:00+00:00,279
2020-12-04 00:00:00+00:00,280
2020-12-06 00:00:00+00:00,281
2020-12-07 00:00:00+00:00,284
2020-12-08 00:00:00+00:00,286
2020-12-09 00:00:00+00:00,287
2020-12-10 00:00:00+00:00,289
2020-12-15 00:00:00+00:00,292
2020-12-16 00:00:00+00:00,293
2020-12-19 00:00:00+00:00,294
2020-12-22 00:00:00+00:00,295
2020-12-23 00:00:00+00:00,296
2020-12-28 00:00:00+00:00,297
2021-01-04 00:00:00+00:00,298
2021-01-07 00:00:00+00:00,300
2021-01-10 00:00:00+00:00,301
2021-01-11 00:00:00+00:00,303
2021-01-15 00:00:00+00:00,307
2021-01-18 00:00:00+00:00,308
2021-01-19 00:00:00+00:00,310
2021-01-21 00:00:00+00:00,311
2021-01-22 00:00:00+00:00,312
2021-01-26 00:00:00+00:00,313
2021-01-27 00:00:00+00:00,314
2021-01-28 00:00:00+00:00,315
2021-01-29 00:00:00+00:00,316
2021-01-30 00:00:00+00:00,317
2021-02-01 00:00:00+00:00,318
2021-02-03 00:00:00+00:00,319
2021-02-06 00:00:00+00:00,320
2021-02-07 00:00:00+00:00,321
2021-02-11 00:00:00+00:00,323
2021-02-19 00:00:00+00:00,324
2021-02-20 00:00:00+00:00,325
2021-02-23 00:00:00+00:00,327
2021-02-24 00:00:00+00:00,329
2021-02-25 00:00:00+00:00,330
2021-03-03 00:00:00+00:00,331
2021-03-04 00:00:00+00:00,332
2021-03-05 00:00:00+00:00,334
2021-03-08 00:00:00+00:00,336
2021-03-11 00:00:00+00:00,337
2021-03-13 00:00:00+00:00,338
2021-03-16 00:00:00+00:00,339
2021-03-18 00:00:00+00:00,340
2021-03-22 00:00:00+00:00,341
2021-03-23 00:00:00+00:00,343
2021-03-24 00:00:00+00:00,344
2021-03-25 00:00:00+00:00,346
2021-03-26 00:00:00+00:00,348
2021-04-01 00:00:00+00:00,349
2021-04-06 00:00:00+00:00,350
2021-04-07 00:00:00+00:00,351
2021-04-08 00:00:00+00:00,353
2021-04-09 00:00:00+00:00,355
2021-04-11 00:00:00+00:00,356
2021-04-15 00:00:00+00:00,358
2021-04-18 00:00:00+00:00,359
2021-04-22 00:00:00+00:00,361
2021-04-23 00:00:00+00:00,362
2021-04-27 00:00:00+00:00,364
2021-04-30 00:00:00+00:00,365
2021-05-01 00:00:00+00:00,366
2021-05-03 00:00:00+00:00,367
2021-05-05 00:00:00+00:00,369
2021-05-11 00:00:00+00:00,370
